,duration,followers,start_time,title,viewers,views,end_time
354,6.6,113,2018-04-17 22:57:00,Actual Crime True Crime: New York City,2579,9043,2018-04-18 05:33:00
355,4.1,158,2018-04-12 00:49:00,Get the Briefcase? SCP: Secret LaboratorySub Rosa,2918,11417,2018-04-12 04:55:00
356,1.4,5,2018-04-10 23:39:00,Audio Only til my internet goes down True Crime: New York CityVoid,2543,3340,2018-04-11 01:03:00
357,5.5,47,2018-04-04 21:54:00,A New Generation of Dinosaurs Dino CrisisMonster Rancher 3Resident Evil 3: Nemesis,2401,10775,2018-04-05 03:24:00
358,2.7,58,2018-04-02 00:00:00,Choose your own adventure IRL,3309,7390,2018-04-02 02:42:00
359,0.8,43,2018-03-30 23:14:00,The Family Dinner IRL,3744,2927,2018-03-31 00:02:00
360,6.0,71,2018-03-29 23:06:00,AI Director in The Mountains Far Cry 5,2261,7916,2018-03-30 05:06:00
361,5.8,83,2018-03-27 22:27:00,Far Cry V: Montana Far Cry 5,2587,9381,2018-03-28 04:15:00
362,8.1,168,2018-03-23 23:11:00,Get atta jail free card A Way Out,3461,13884,2018-03-24 07:17:00
363,5.0,41,2018-03-22 23:27:00,Who dun it? A Murder Mystery Burnout ParadiseThe Council,2691,7445,2018-03-23 04:27:00
364,10.0,156,2018-03-20 22:02:00,Dad Vicariously Lives Through His More Talented Monster Family Monster Rancher 2,2886,12405,2018-03-21 08:02:00
365,5.8,62,2018-03-18 00:14:00,Desperate Streamer Seeks Capable Strong Monster Monster Rancher 2,2556,10566,2018-03-18 06:02:00
366,6.2,52,2018-03-16 23:20:00,Bean Bag Sonic Monster Rancher 2,2763,9687,2018-03-17 05:32:00
367,6.2,98,2018-03-15 23:22:00,Master Monster Breeder Monster Rancher 2,2836,10200,2018-03-16 05:34:00
368,3.9,42,2018-03-10 00:32:00,Brain Games Flash,2911,6452,2018-03-10 04:26:00
369,5.2,37,2018-03-08 23:45:00,IllnessCraft Bio Inc. Redemption,2529,8506,2018-03-09 04:57:00
370,6.1,78,2018-03-06 23:59:00,Breeding Monsters [Quick Cash Secrets] Monster Rancher,2600,8520,2018-03-07 06:05:00
371,3.0,37,2018-03-02 00:01:00,Down the Rabbit Hole Again Monster RancherRetro,2490,5043,2018-03-02 03:01:00
372,5.4,89,2018-02-28 17:58:00,Delivery King Kingdom Come: Deliverance,1820,8037,2018-02-28 23:22:00
373,5.8,78,2018-02-27 23:55:00,Kingdom Come: Digiorno Kingdom Come: Deliverance,2486,8268,2018-02-28 05:43:00
374,5.0,90,2018-02-26 22:06:00,Kingdom Come (But he actually pays attention this time) Kingdom Come: Deliverance,2631,9488,2018-02-27 03:06:00
375,5.0,124,2018-02-25 22:43:00,"Thy Kingdom Come, Thy Will Be Done Kingdom Come: Deliverance",3284,12261,2018-02-26 03:43:00
376,6.7,72,2018-02-23 22:31:00,Dealin' with Rats 2 Bloody Trapland 2: CuriosityWarhammer: Vermintide 2,2285,13651,2018-02-24 05:13:00
377,4.3,29,2018-02-20 23:57:00,Point Blank 2 and 3 on an Old Grandma TV Point Blank 2,2057,7113,2018-02-21 04:15:00
378,3.6,42,2018-02-19 00:08:00,PS1 Cheasure Trest Retro,2664,7797,2018-02-19 03:44:00
379,3.8,66,2018-02-17 23:37:00,Light Gun Troubleshooting Point BlankTime CrisisTime Crisis 2,2701,8107,2018-02-18 03:25:00
380,5.7,48,2018-02-09 23:53:00,Octopi against Humanity Octogeddon,2626,8145,2018-02-10 05:35:00
381,5.9,88,2018-02-09 00:12:00,Destroying earth tonight Octogeddon,2894,9344,2018-02-09 06:06:00
382,4.0,67,2018-02-06 23:52:00,AP classes prepare you for college Alpha Protocol,2564,7913,2018-02-07 03:52:00
383,3.8,105,2018-02-02 02:45:00,Subnautica Meme Funeral Subnautica,2690,7245,2018-02-02 06:33:00
384,5.8,118,2018-01-31 23:59:00,Subterranean Underwater Utility Vehicle Subnautica,2625,9347,2018-02-01 05:47:00
385,4.7,60,2018-01-27 23:24:00,Herman Munster Hunter Monster Hunter World,1623,6152,2018-01-28 04:06:00
386,5.6,79,2018-01-26 23:36:00,MonHuntWorPS4x64.exe Monster Hunter World,1699,8299,2018-01-27 05:12:00
387,2.6,45,2018-01-26 00:08:00,Before the Until Dawn The Inpatient,2348,5347,2018-01-26 02:44:00
388,3.9,99,2018-01-23 23:52:00,Battle Royale Game #16 SOS,3219,12563,2018-01-24 03:46:00
389,2.7,56,2018-01-20 23:54:00,Dr. Robot Dolittle Bot Colony,3406,5964,2018-01-21 02:36:00
390,4.8,81,2018-01-19 23:34:00,Guy Feeds his Fish Insaniquarium Deluxe,2845,9400,2018-01-20 04:22:00
391,5.3,63,2018-01-17 20:15:00,Relaxing Horror Game Horror Stories,2835,10283,2018-01-18 01:33:00
392,3.9,44,2018-01-12 23:22:00,LA Real Crime: Streets of Rage IRLTrue Crime: Streets of LA,1969,7301,2018-01-13 03:16:00
393,4.4,41,2018-01-12 00:32:00,Paranoid Streamer Runs From Upload Monster Neighbors from HellNeighbors from Hell 2: On VacationTrue Crime: Streets of LA,2394,6764,2018-01-12 04:56:00
